               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.049237,             0.06253,            0.024303,             0.70166,             0.48666,             0.55086,             0.32823,            0.047821,            0.047627,            0.020925,             0.00736,             0.00736,             0.00736
                  82,            0.049164,            0.062636,            0.024318,              0.6934,             0.49717,              0.5474,             0.32361,            0.047804,            0.047628,            0.020675,            0.007327,            0.007327,            0.007327
                  83,            0.049498,            0.061579,            0.023872,             0.69623,             0.50208,             0.55373,             0.33138,            0.047594,             0.04732,            0.020784,            0.007294,            0.007294,            0.007294
                  84,            0.049266,            0.062163,            0.023858,             0.71835,             0.49861,             0.55764,             0.33197,             0.04783,            0.047184,            0.020474,            0.007261,            0.007261,            0.007261
                  85,            0.049033,             0.06268,            0.023815,             0.69143,             0.50888,             0.55717,             0.33344,            0.047654,            0.047435,             0.02053,            0.007228,            0.007228,            0.007228
                  86,            0.048943,            0.063109,            0.023991,             0.69795,             0.50611,             0.55858,             0.33339,            0.047543,            0.047596,            0.020357,            0.007195,            0.007195,            0.007195
                  87,            0.048582,            0.062086,            0.023295,             0.71554,             0.49884,             0.56738,             0.33998,            0.047624,            0.047184,            0.020278,            0.007162,            0.007162,            0.007162
                  88,            0.048875,            0.063027,            0.023504,             0.69022,             0.51753,             0.56244,             0.34054,             0.04731,            0.047197,            0.020473,            0.007129,            0.007129,            0.007129
                  89,            0.048714,            0.062718,            0.023073,             0.70972,             0.51303,             0.56808,             0.34189,            0.047476,             0.04701,            0.020326,            0.007096,            0.007096,            0.007096
                  90,            0.048449,            0.061007,            0.023126,             0.70025,             0.52199,             0.57132,             0.34121,            0.047164,             0.04693,            0.020189,            0.007063,            0.007063,            0.007063
                  91,            0.048144,            0.061451,            0.022926,             0.72248,             0.50814,             0.57045,             0.34406,            0.047085,            0.047032,            0.020087,             0.00703,             0.00703,             0.00703
                  92,            0.048522,            0.061711,            0.022666,             0.70515,             0.52351,             0.57986,             0.34687,            0.047023,            0.046953,            0.019927,            0.006997,            0.006997,            0.006997
                  93,            0.048109,            0.061212,            0.022421,             0.71847,             0.50882,             0.57732,             0.34934,            0.047205,            0.046834,            0.019889,            0.006964,            0.006964,            0.006964
                  94,            0.048202,            0.062093,            0.022545,             0.71722,             0.52699,             0.58567,             0.35383,            0.047019,            0.046898,            0.019719,            0.006931,            0.006931,            0.006931
                  95,            0.048513,            0.061445,            0.022394,             0.71317,             0.51972,             0.58256,             0.35359,            0.047133,            0.047066,            0.019587,            0.006898,            0.006898,            0.006898
                  96,            0.048333,             0.06241,            0.022197,             0.73027,             0.52634,             0.59336,             0.36166,            0.046822,             0.04651,            0.019509,            0.006865,            0.006865,            0.006865
                  97,            0.048482,            0.062483,            0.021822,             0.72281,             0.52592,             0.58677,             0.35559,            0.046858,            0.046799,            0.019555,            0.006832,            0.006832,            0.006832
                  98,            0.048063,            0.060631,            0.022165,             0.74989,             0.52321,             0.59038,             0.35898,             0.04678,            0.046592,            0.019393,            0.006799,            0.006799,            0.006799
                  99,            0.048015,            0.060235,            0.021801,              0.7484,             0.53224,             0.59898,             0.36438,            0.046491,             0.04632,            0.019021,            0.006766,            0.006766,            0.006766
                 100,            0.047401,             0.06074,            0.021608,             0.74104,             0.53312,              0.6044,             0.36888,            0.046615,            0.046422,            0.019107,            0.006733,            0.006733,            0.006733
                 101,            0.047672,            0.061319,            0.021311,             0.74153,             0.52569,             0.59992,             0.36293,             0.04655,            0.046304,            0.018958,              0.0067,              0.0067,              0.0067
                 102,            0.047081,            0.060734,            0.021231,             0.74334,             0.53443,             0.59847,             0.36616,            0.046543,            0.046243,            0.019447,            0.006667,            0.006667,            0.006667
                 103,            0.047619,            0.059903,            0.021007,             0.73734,             0.54101,              0.6077,             0.37195,            0.046271,             0.04602,             0.01903,            0.006634,            0.006634,            0.006634
                 104,             0.04735,            0.059589,            0.021509,             0.73736,               0.546,             0.60677,             0.37322,            0.046011,            0.046037,            0.018693,            0.006601,            0.006601,            0.006601
                 105,            0.047268,            0.060882,            0.021006,             0.71929,             0.54396,             0.60315,             0.37192,            0.046158,            0.046046,            0.018848,            0.006568,            0.006568,            0.006568
                 106,            0.047183,             0.05984,            0.020934,             0.75681,             0.53727,             0.61096,             0.37573,            0.046118,            0.046129,            0.018488,            0.006535,            0.006535,            0.006535
                 107,            0.047207,            0.060478,            0.020827,             0.75845,             0.54514,              0.6149,             0.38006,            0.046015,            0.045928,            0.018559,            0.006502,            0.006502,            0.006502
                 108,            0.046939,            0.059835,            0.020539,             0.72003,             0.55461,             0.61129,             0.38087,             0.04604,            0.045972,            0.018425,            0.006469,            0.006469,            0.006469
                 109,            0.047035,            0.059844,            0.020343,              0.7643,             0.54824,             0.62056,             0.38304,            0.045907,            0.045809,            0.018093,            0.006436,            0.006436,            0.006436
                 110,            0.046895,            0.058933,            0.020245,             0.77235,             0.54826,             0.62133,             0.38182,            0.045898,            0.045833,            0.018199,            0.006403,            0.006403,            0.006403
                 111,            0.046789,            0.060476,            0.020083,             0.76566,             0.55061,               0.619,             0.38166,            0.045727,            0.045723,            0.018081,             0.00637,             0.00637,             0.00637
                 112,            0.047262,            0.060181,            0.020288,             0.76479,             0.55249,              0.6239,             0.39119,            0.045673,            0.045645,            0.018096,            0.006337,            0.006337,            0.006337
                 113,            0.046956,            0.060854,            0.019839,             0.78225,             0.55547,              0.6257,             0.38871,            0.045591,            0.045511,             0.01794,            0.006304,            0.006304,            0.006304
                 114,            0.046685,            0.059495,            0.019841,             0.75891,             0.56424,             0.62837,             0.39153,            0.045698,            0.045704,            0.017888,            0.006271,            0.006271,            0.006271
                 115,            0.046699,            0.060374,            0.019885,             0.78131,             0.55182,             0.62744,             0.39247,            0.045682,            0.045547,            0.017728,            0.006238,            0.006238,            0.006238
                 116,            0.046215,            0.059596,            0.019851,             0.74523,             0.57622,             0.62741,             0.39458,            0.045448,            0.045682,            0.017682,            0.006205,            0.006205,            0.006205
                 117,             0.04624,            0.059558,            0.019724,             0.77757,             0.56314,             0.63161,             0.39574,            0.045425,            0.045508,              0.0175,            0.006172,            0.006172,            0.006172
                 118,            0.046273,            0.058702,            0.019727,             0.76302,             0.56509,              0.6304,             0.39443,            0.045464,            0.045436,            0.017678,            0.006139,            0.006139,            0.006139
                 119,            0.046268,            0.058828,            0.019549,             0.76726,             0.56442,             0.63188,             0.39571,            0.045467,            0.045385,            0.017654,            0.006106,            0.006106,            0.006106
                 120,            0.045936,            0.058774,            0.019512,             0.77402,             0.56723,             0.63526,             0.39711,            0.045352,            0.045407,            0.017626,            0.006073,            0.006073,            0.006073
                 121,            0.046265,            0.059194,            0.019228,             0.76247,             0.56964,             0.63256,             0.39817,            0.045175,            0.045201,            0.017444,             0.00604,             0.00604,             0.00604
                 122,            0.046085,            0.057769,            0.018939,             0.76518,             0.57343,             0.63485,             0.39973,            0.045239,            0.045075,            0.017553,            0.006007,            0.006007,            0.006007
                 123,            0.045921,              0.0564,            0.019102,             0.78048,             0.57431,             0.63871,             0.40457,            0.045127,            0.045052,            0.017445,            0.005974,            0.005974,            0.005974
                 124,            0.045736,            0.059459,            0.018821,             0.78313,             0.57872,             0.64213,             0.40692,            0.044954,            0.044957,            0.017356,            0.005941,            0.005941,            0.005941
                 125,             0.04577,            0.058873,            0.019249,             0.77475,             0.58074,             0.64439,             0.40915,            0.045066,            0.045128,            0.017557,            0.005908,            0.005908,            0.005908
                 126,            0.045764,            0.057873,            0.019178,             0.79243,             0.57569,             0.64009,             0.40437,            0.045179,            0.045176,            0.017557,            0.005875,            0.005875,            0.005875
                 127,            0.045996,            0.058573,            0.018699,              0.7816,             0.57921,             0.64292,             0.40995,            0.044899,            0.044736,            0.017329,            0.005842,            0.005842,            0.005842
                 128,             0.04541,            0.057385,            0.018761,              0.7894,             0.57717,             0.64372,             0.40931,            0.044993,            0.044916,            0.017407,            0.005809,            0.005809,            0.005809
                 129,            0.045443,            0.057864,            0.018762,             0.78587,             0.58325,             0.64831,             0.41266,             0.04494,            0.044747,            0.017177,            0.005776,            0.005776,            0.005776
                 130,            0.045211,             0.05816,            0.018683,             0.77425,             0.58793,             0.64836,             0.41193,            0.044779,            0.044633,            0.017035,            0.005743,            0.005743,            0.005743
                 131,            0.045439,            0.058846,            0.018237,              0.7961,             0.58203,             0.64979,             0.41308,            0.044768,            0.044729,             0.01709,             0.00571,             0.00571,             0.00571
                 132,            0.045272,            0.058086,            0.017939,             0.80123,             0.58035,             0.64972,             0.41522,            0.044623,            0.044748,            0.016994,            0.005677,            0.005677,            0.005677
                 133,            0.045177,            0.057815,            0.017909,             0.78479,             0.59257,             0.65301,             0.41833,            0.044555,            0.044705,            0.016752,            0.005644,            0.005644,            0.005644
                 134,             0.04538,            0.057827,            0.018209,             0.78365,             0.59405,             0.65777,             0.42047,            0.044381,            0.044471,            0.016638,            0.005611,            0.005611,            0.005611
                 135,            0.044859,            0.057899,             0.01783,             0.79956,             0.58876,              0.6594,             0.42159,            0.044318,            0.044396,            0.016781,            0.005578,            0.005578,            0.005578
                 136,            0.045315,             0.05719,            0.017838,             0.80493,             0.58853,             0.65666,             0.42092,            0.044532,            0.044433,            0.016871,            0.005545,            0.005545,            0.005545
